,"first.day[, ""open.date""]"
1,2010-02-01
2,2010-03-01
3,2010-04-01
4,2010-05-03
5,2010-06-01
6,2010-07-01
7,2010-08-02
8,2010-09-01
9,2010-10-01
10,2010-11-01
11,2010-12-01
12,2011-01-03
13,2011-02-01
14,2011-03-01
15,2011-04-01
16,2011-05-02
17,2011-06-01
18,2011-07-01
19,2011-08-01
20,2011-09-01
21,2011-10-03
22,2011-11-01
23,2011-12-01
24,2012-01-03
25,2012-02-01
26,2012-03-01
27,2012-04-02
28,2012-05-01
29,2012-06-01
30,2012-07-02
31,2012-08-01
32,2012-09-04
33,2012-10-01
34,2012-11-01
35,2012-12-03
36,2013-01-02
37,2013-02-01
38,2013-03-01
39,2013-04-01
40,2013-05-01
41,2013-06-03
42,2013-07-01
43,2013-08-01
44,2013-09-03
45,2013-10-01
46,2013-11-01
47,2013-12-02
48,2014-01-02
49,2014-02-03
50,2014-03-03
51,2014-04-01
52,2014-05-01
53,2014-06-02
54,2014-07-01
55,2014-08-01
56,2014-09-02
57,2014-10-01
58,2014-11-03
59,2014-12-01
60,2015-01-01
61,2015-02-02
62,2015-03-02
63,2015-04-01
64,2015-05-01
65,2015-06-01
66,2015-07-01
67,2015-08-03
68,2015-09-01
69,2015-10-01
70,2015-11-02
71,2015-12-01