"","date"
"1","2010-01-25"
"2","2010-02-01"
"3","2010-02-16"
"4","2010-02-22"
"5","2010-03-01"
"6","2010-03-08"
"7","2010-03-15"
"8","2010-03-22"
"9","2010-03-29"
"10","2010-04-05"
"11","2010-04-12"
"12","2010-04-19"
"13","2010-04-26"
"14","2010-05-03"
"15","2010-05-10"
"16","2010-05-17"
"17","2010-06-01"
"18","2010-06-07"
"19","2010-06-14"
"20","2010-06-21"
"21","2010-07-06"
"22","2010-07-12"
"23","2010-07-19"
"24","2010-07-26"
"25","2010-08-02"
"26","2010-08-09"
"27","2010-08-16"
"28","2010-08-23"
"29","2010-09-07"
"30","2010-09-13"
"31","2010-09-20"
"32","2010-09-27"
"33","2010-10-04"
"34","2010-10-11"
"35","2010-10-18"
"36","2010-10-25"
"37","2010-11-01"
"38","2010-11-08"
"39","2010-11-15"
"40","2010-11-22"
"41","2010-11-29"
"42","2010-12-06"
"43","2010-12-13"
"44","2010-12-20"
"45","2010-12-27"
"46","2011-01-03"
"47","2011-01-18"
"48","2011-01-24"
"49","2011-01-31"
"50","2011-02-07"
"51","2011-02-22"
"52","2011-02-28"
"53","2011-03-07"
"54","2011-03-14"
"55","2011-03-21"
"56","2011-03-28"
"57","2011-04-04"
"58","2011-04-11"
"59","2011-04-18"
"60","2011-04-25"
"61","2011-05-02"
"62","2011-05-09"
"63","2011-05-16"
"64","2011-05-31"
"65","2011-06-06"
"66","2011-06-13"
"67","2011-06-20"
"68","2011-07-05"
"69","2011-07-11"
"70","2011-07-18"
"71","2011-07-25"
"72","2011-08-01"
"73","2011-08-08"
"74","2011-08-15"
"75","2011-08-22"
"76","2011-09-06"
"77","2011-09-12"
"78","2011-09-19"
"79","2011-09-26"
"80","2011-10-03"
"81","2011-10-10"
"82","2011-10-17"
"83","2011-10-24"
"84","2011-10-31"
"85","2011-11-07"
"86","2011-11-14"
"87","2011-11-21"
"88","2011-11-28"
"89","2011-12-05"
"90","2011-12-12"
"91","2012-01-17"
"92","2012-01-23"
"93","2012-01-30"
"94","2012-02-06"
"95","2012-02-21"
"96","2012-02-27"
"97","2012-03-05"
"98","2012-03-12"
"99","2012-03-19"
"100","2012-03-26"
"101","2012-04-02"
"102","2012-04-09"
"103","2012-04-16"
"104","2012-04-23"
"105","2012-04-30"
"106","2012-05-07"
"107","2012-05-14"
"108","2012-05-29"
"109","2012-06-04"
"110","2012-06-11"
"111","2012-06-18"
"112","2012-06-25"
"113","2012-07-02"
"114","2012-07-09"
"115","2012-07-16"
"116","2012-07-23"
"117","2012-07-30"
"118","2012-08-06"
"119","2012-08-13"
"120","2012-08-20"
"121","2012-09-04"
"122","2012-09-10"
"123","2012-09-17"
"124","2012-09-24"
"125","2012-10-01"
"126","2012-10-08"
"127","2012-10-15"
"128","2012-10-30"
"129","2012-11-05"
"130","2012-11-12"
"131","2012-11-19"
"132","2012-11-26"
"133","2012-12-03"
"134","2012-12-10"
"135","2012-12-17"
"136","2012-12-24"
"137","2012-12-31"
"138","2013-01-07"
"139","2013-01-22"
"140","2013-01-28"
"141","2013-02-04"
"142","2013-02-19"
"143","2013-02-25"
"144","2013-03-04"
"145","2013-03-11"
"146","2013-03-18"
"147","2013-03-25"
"148","2013-04-01"
"149","2013-04-08"
"150","2013-04-15"
"151","2013-04-22"
"152","2013-04-29"
"153","2013-05-06"
"154","2013-05-13"
"155","2013-05-28"
"156","2013-06-03"
"157","2013-06-10"
"158","2013-06-17"
"159","2013-06-24"
"160","2013-07-01"
"161","2013-07-08"
"162","2013-07-15"
"163","2013-07-22"
"164","2013-07-29"
"165","2013-08-05"
"166","2013-08-12"
"167","2013-08-19"
"168","2013-09-03"
"169","2013-09-09"
"170","2013-09-16"
"171","2013-09-23"
"172","2013-09-30"
"173","2013-10-07"
"174","2013-10-14"
"175","2013-10-21"
"176","2013-10-28"
"177","2013-11-04"
"178","2013-11-11"
"179","2013-11-18"
"180","2013-11-25"
"181","2013-12-02"
"182","2013-12-09"
"183","2013-12-16"
"184","2013-12-23"
"185","2013-12-30"
"186","2014-01-06"
"187","2014-01-21"
"188","2014-01-27"
"189","2014-02-03"
"190","2014-02-18"
"191","2014-02-24"
"192","2014-03-03"
"193","2014-03-10"
"194","2014-03-17"
"195","2014-03-24"
"196","2014-03-31"
"197","2014-04-07"
"198","2014-04-14"
"199","2014-04-21"
"200","2014-04-28"
"201","2014-05-05"
"202","2014-05-12"
"203","2014-05-27"
"204","2014-06-02"
"205","2014-06-09"
"206","2014-06-16"
"207","2014-06-23"
"208","2014-06-30"
"209","2014-07-07"
"210","2014-07-14"
"211","2014-07-21"
"212","2014-07-28"
"213","2014-08-04"
"214","2014-08-11"
"215","2014-08-18"
"216","2014-09-02"
"217","2014-09-08"
"218","2014-09-15"
"219","2014-09-22"
"220","2014-09-29"
"221","2014-10-06"
"222","2014-10-13"
"223","2014-10-20"
"224","2014-10-27"
"225","2014-11-03"
"226","2014-11-10"
"227","2014-11-17"
"228","2014-11-24"
"229","2014-12-01"
"230","2014-12-08"
"231","2014-12-15"
"232","2014-12-22"
"233","2014-12-29"
"234","2015-01-05"
"235","2015-01-12"
"236","2015-01-26"
"237","2015-02-02"
"238","2015-02-09"
"239","2015-02-23"
"240","2015-03-02"
"241","2015-03-09"
"242","2015-03-16"
"243","2015-03-23"
"244","2015-03-30"
"245","2015-04-06"
"246","2015-04-13"
"247","2015-04-20"
"248","2015-04-27"
"249","2015-05-04"
"250","2015-05-11"
"251","2015-05-18"
"252","2015-06-01"
"253","2015-06-08"
"254","2015-06-15"
"255","2015-06-22"
"256","2015-06-29"
"257","2015-07-06"
"258","2015-07-13"
"259","2015-07-20"
"260","2015-07-27"
"261","2015-08-03"
"262","2015-08-10"
"263","2015-08-17"
"264","2015-08-24"
"265","2015-08-31"
"266","2015-09-14"
"267","2015-09-21"
"268","2015-09-28"
"269","2015-10-05"
"270","2015-10-12"
"271","2015-10-19"
"272","2015-10-26"
"273","2015-11-02"
